MARSA;Sandra I.;Martinez;780 West Blvd.;Arlington;WA;88223;USA;(360) 555-0129
MASST;Steve;Masters;300 Park Avenue #1301;Seattle;WA;88121;USA;(206) 555-0128
MATJO;Joseph;Matthews;96 Jefferson Loop;Loma Linda;CA;82350;USA;(209) 555-0127
MCGCH;Chris;McGurk;12 Pike St.;Everett;WA;88208;USA;(360) 555-0126
MEYCH;Chris;Meyer;722 DaVinci Blvd.;Kirkland;WA;88033;USA;(425) 555-0125
MILBE;Ben;Miller;23 High Pass Dr.;Granada Hills;CA;81344;USA;(408) 555-0124
MILFR;Frank;Miller;18 Elm St.;Tulalip;WA;88271;USA;(360) 555-0123
MITSC;Scott;Mitchell;47 Eucalyptus Dr.;Escondido;CA;82029;USA;(619) 555-0122
NASMI;Mike;Nash;78 Roux Rd.;Seattle;WA;88124;USA;(206) 555-0119
NISCH;Chad;Niswonger;3300 Colorado Blvd.;Bellevue;WA;88005;USA;(425) 555-0118
O'DCL;Claire;O'Donnell;76 Piney Ridge;Redmond;WA;88052;USA;(425) 555-0117
OGIFU;Fukiko;Ogisu;978 Carnegie Ave.;Seattle;WA;88146;USA;(206) 555-0116
ORMTA;Tad;Orman;44 Dwight Ct.;Seattle;WA;88133;USA;(206) 555-0115
OVESC;Scott;Oveson;78 Miller St.;Seattle;WA;88158;USA;(206) 555-0114
PELDA;David;Pelton;193 Upper Mountain Ave.;Monroe;WA;88272;USA;(360) 555-0113
PEOJO;John;Peoples;78 Van Houten S.;Redmond;WA;88053;USA;(425) 555-0112
PHICA;Carol;Philips;2222 Montrose Ct.;Snohomish;WA;88291;USA;(360) 555-0111
PICGU;Guido;Pica;33 Washington Dr.;Seattle;WA;88166;USA;(206) 555-0110
POLCA;Carole;Poland;10 Pepper Dr.;San Jose;CA;85111;USA;(408) 555-0109
PRIJE;Jeff;Price;87 Prince St.;Seattle;WA;88199;USA;(206) 555-0108
RAMLU;Luciana;Ramos;12 Juanita Ln.;Helena;MT;49624;USA;(406) 555-0107
REITS;Tsvi;Reiter;98 Bitter Creek Rd.;Kirkland;WA;88032;USA;(425) 555-0106
SAMPR;Prasanna;Samarawickrama;17331 Fairhaven St.;Seattle;WA;88136;USA;(206) 555-0105
SANPA;Patrick;Sands;98 N. Hyde St.;San Francisco;CA;84140;USA;(415) 555-0104
SEIJO;Joachim;Seidler;9308 Dartridge Ave.;San Francisco;CA;84167;USA;(415) 555-0103
SIMDA;David;Simpson;45 Park St.;San Jose;CA;85123;USA;(408) 555-0102
SMIJE;Jeff;Smith;17 Wilken Rd.;La Conner;WA;88257;USA;(360) 555-0101
SMISA;Samantha;Smith;74 S. Western Dr.;Seattle;WA;88188;USA;(206) 555-0100
THIRA;Ram;Thirunavukkarasu;27 Christopher St.;Seattle;WA;88155;USA;(206) 555-0198
TOMDR;Dragan;Tomic;78 S. Terrain St.;Seattle;WA;88148;USA;(206) 555-0196
TRASH;Shirleen H.;Travers;46 E. Orange St.;Bellevue;WA;88004;USA;(425) 555-0195
VANRO;Roger;Van Houten;6565 Bentwood Circle;Redmond;WA;88052;USA;(425) 555-0194
WANQI;Qiang;Wang;98 Forrest Way;Redmond;WA;88053;USA;(425) 555-0192
WANTO;Tony;Wang;87 Pauline Dr.;Seattle;WA;88125;USA;(206) 555-0191
WILJA;Jim;Wilson;99 18th St. N.;Seattle;WA;88133;USA;(206) 555-0190
WISMA;Mark;Wistrom;722 Prospect Blvd.;Seattle;WA;88105;USA;(206) 555-0189
YOUGA;Garrett;Young;98 Shoemaker Dr.;Kirkland;WA;88033;USA;(425) 555-0188
YOURO;Rob;Young;231 N. Ukiah Rd.;Aloha;OR;87006;USA;(503) 555-0110
ZIMKA;Karin;Zimprich;472 Lexington Ave.;Carnation;WA;88014;USA;(425) 555-0111
ZWIMI;Michael;Zwilling;76 Kings Way;Fall City;WA;88024;USA;(425) 555-0112
